name,sex
Feeder Steers,Male
Feeder Heifers,Female
Spayed Feeder Heifers,Female
Heiferettes,Female
Spayed Weaned Heifers,Female
Weaned Steer Calves,Male
Weaned Heifer Calves,Female
Steer Calves,Male
Heifer Calves,Female
Bull Calves,Male
Beef Dairy Cross Steers,Male
Beef Dairy Cross Heifers,Female
Beef Dairy Cross Bulls,Male
Holstein Steers,Male
Holstein Heifers,Female
Holstein Bulls,Male
Corriente Steers,Male
Corriente Heifers,Female
Corriente Bulls,Male
Corriente Steer Calves,Male
Corriente Heifer Calves,Female
Longhorn Steers,Male
Longhorn Heifers,Female
Longhorn Bulls,Male
Jersey Steers,Male
Jersey Heifers,Female
Jersey Bulls,Male
Bull,Male
Bulls,Male
Weigh Cows,Female